date,repo,number,title,pr_type,fix_source,issue_number,issue_author,url
2026-05-19,fullsend,1180,"fix(#1142): change DefaultAppSet from ""fullsend"" to ""fullsend-ai""",fix,core,1142,rh-hemartin,https://github.com/fullsend-ai/fullsend/pull/1180
2026-05-19,fullsend,1177,fix(sandbox): keep relative in-repo symlinks on download,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1177
2026-05-19,fullsend,1151,build(sandbox): add jq to base image,other,,,,https://github.com/fullsend-ai/fullsend/pull/1151
2026-05-19,fullsend,1128,fix: detect public apps without --public flag and filter shared slugs by app-set,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1128
2026-05-19,fullsend,1117,chore(deps): bump experiments from `8b7a139` to `16798de`,chore,,,,https://github.com/fullsend-ai/fullsend/pull/1117
2026-05-19,fullsend,1113,fix: merge existing orgs in ProvisionWIF to prevent WIF condition clobber,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1113
2026-05-19,fullsend,1104,fix: filter config knownSlugs by requested app-set prefix,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1104
2026-05-19,fullsend,1079,fix(sandbox): use tarball upload to preserve symlinks,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1079
2026-05-19,fullsend,1039,"triage: align control labels with pipeline usage, rename type/feature to feature",other,,,,https://github.com/fullsend-ai/fullsend/pull/1039
2026-05-19,fullsend,1029,ci: consolidate lint + test into single make test job,ci,,,,https://github.com/fullsend-ai/fullsend/pull/1029
2026-05-19,fullsend,1022,fix: silent skip when stage role not configured,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1022
2026-05-19,fullsend,1020,fix: correct install-binary.sh path in cutting-releases skill,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1020
2026-05-19,fullsend,974,docs: document conventional commits policy,docs,,,,https://github.com/fullsend-ai/fullsend/pull/974
2026-05-19,fullsend,911,feat: add --debug flag for Claude Code debug logging,feat,,,,https://github.com/fullsend-ai/fullsend/pull/911
2026-05-19,fullsend,807,feat: add search filter to docs sidebar file tree,feat,,,,https://github.com/fullsend-ai/fullsend/pull/807
2026-05-20,fullsend,1252,fix(scaffold): add plugins/ to layered directories,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1252
2026-05-20,fullsend,1246,fix(review): disable follow-up issue creation while PR is open,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1246
2026-05-20,fullsend,1211,feat(e2e): add TOTP support for 2FA-enabled GitHub accounts,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1211
2026-05-20,fullsend,1110,feat: agent self-check tool for output schema validation,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1110
2026-05-21,fullsend,1325,feat: add sandbox creation failure tolerance,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1325
2026-05-21,fullsend,1307,fix(#1301): delete stale remote branches before pushing,fix,bot,1301,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1307
2026-05-21,fullsend,1268,feat(e2e): simplify tests with CLI subprocess,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1268
2026-05-21,fullsend,1265,docs(#1264): document required GCP IAM roles for mint provisioning,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1265
2026-05-21,fullsend,1257,fix(scaffold): add env/ to prioritize.yml layered directory loops,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1257
2026-05-21,fullsend,1250,feat(skills): add mint-enroll SRE runbook skill,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1250
2026-05-21,fullsend,1235,refactor(test): add optional expect_output param to test helpers,other,,,,https://github.com/fullsend-ai/fullsend/pull/1235
2026-05-21,fullsend,1234,docs(#1196): add jq to sandbox image tool list in images/README.md,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1234
2026-05-21,fullsend,1233,feat(#1221): add constant-value search guidance to code skill,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1233
2026-05-21,fullsend,1167,feat(#1052): show allowed properties in validation error output,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1167
2026-05-21,fullsend,1156,feat(code-review): flag permission manifest changes as mandatory finding,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1156
2026-05-21,fullsend,1121,fix(#1120): derive max-repos error message from maxRepos constant,fix,bot,1120,fullsend-ai-review[bot],https://github.com/fullsend-ai/fullsend/pull/1121
2026-05-21,fullsend,1016,fix(#1012): add extract-transcript-error.sh to executableFiles map,fix,core,1012,ralphbean,https://github.com/fullsend-ai/fullsend/pull/1016
2026-05-21,fullsend,919,feat(#780): migrate OpenShell to Podman driver,feat,,,,https://github.com/fullsend-ai/fullsend/pull/919
2026-05-21,fullsend,665,docs: add guide for running agents locally with released binaries,docs,,,,https://github.com/fullsend-ai/fullsend/pull/665
2026-05-22,fullsend,1348,fix: validate inline review comment lines against diff hunks,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1348
2026-05-26,fullsend,1543,fix(ci): raise gitlint title-max-length from 72 to 100,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1543
2026-05-26,fullsend,1493,feat(#1249): show version on banner line,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1493
2026-05-26,fullsend,1487,fix(prioritize): CSMA/CD rate-limit resilience for post-prioritize,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1487
2026-05-26,fullsend,1463,fix(#1460): replace gh issue view GraphQL call with REST API,fix,bot,1460,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1463
2026-05-26,fullsend,1461,refactor(#1148): use slice+join for buildClaudeCommand flags,other,,,,https://github.com/fullsend-ai/fullsend/pull/1461
2026-05-26,fullsend,1448,fix(#446): close secret redaction pattern bypasses,fix,core,446,waynesun09,https://github.com/fullsend-ai/fullsend/pull/1448
2026-05-26,fullsend,1436,fix(skills): satisfy ty check in analyze-transcript,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1436
2026-05-26,fullsend,1427,fix(#1426): check legacy app-set names during uninstall,fix,external,1426,deboer-tim,https://github.com/fullsend-ai/fullsend/pull/1427
2026-05-26,fullsend,1425,fix(#1416): detect third-party apps and skip PEM recovery,fix,external,1416,deboer-tim,https://github.com/fullsend-ai/fullsend/pull/1425
2026-05-26,fullsend,1388,fix(#1387): use REST API and explicit workspace path in review agent,fix,bot,1387,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1388
2026-05-26,fullsend,1332,fix(mint): reject cross-org installation mismatch,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1332
2026-05-26,fullsend,1329,fix: use plain comments for interactive triage actions,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1329
2026-05-26,fullsend,1311,fix: escape shell metacharacters in expanded env files,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1311
2026-05-26,fullsend,1308,fix(#1300): add explicit trigger_source mapping to fix agent,fix,bot,1300,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1308
2026-05-26,fullsend,1304,docs(#1299): document forge.Client abstraction convention,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1304
2026-05-26,fullsend,1295,docs(#1290): add export blocks for shell variables in install guide,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1295
2026-05-26,fullsend,1227,chore(deps): bump experiments from `16798de` to `8a13cad`,chore,,,,https://github.com/fullsend-ai/fullsend/pull/1227
2026-05-26,fullsend,1215,feat(e2e): parallel test runs via org pool,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1215
2026-05-26,fullsend,1178,fix(security): run unicode normalization before secret redaction,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1178
2026-05-26,fullsend,1172,fix(run): clarify skill scan log — blocked vs uploading,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1172
2026-05-26,fullsend,1096,feat: add internal/fetch package with SSRF-protected HTTP client,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1096
2026-05-26,fullsend,1095,feat: add URL detection and integrity hash parsing to harness package,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1095
2026-05-26,fullsend,1094,feat: add fetch audit logging for remote resource tracking,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1094
2026-05-26,fullsend,1090,docs: phased implementation plan for ADR-0038 universal harness access,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1090
2026-05-26,fullsend,1083,docs: document platform-provided infrastructure for per-repo install,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1083
2026-05-26,fullsend,1030,fix: add actionlint coverage for scaffold workflow templates,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1030
2026-05-26,fullsend,1017,"docs: per-agent reference with icons, commands, and labels",docs,,,,https://github.com/fullsend-ai/fullsend/pull/1017
2026-05-26,fullsend,1011,feat: support --vendor-fullsend-binary in per-repo mode,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1011
2026-05-27,fullsend,1621,docs: add role-based setup guide and update CLI docs,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1621
2026-05-27,fullsend,1555,feat: add schema extensions for remote resource allowlists,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1555
2026-05-27,fullsend,1554,feat: add content-addressed cache for remote resources,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1554
2026-05-27,fullsend,1553,chore: add .fullsend-cache to gitignore,chore,,,,https://github.com/fullsend-ai/fullsend/pull/1553
2026-05-27,fullsend,1549,docs(#1544): add ADR 0040 for /fs- slash command prefix,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1549
2026-05-27,fullsend,1479,fix(#1467): add dedup research step to retro agent before proposing,fix,bot,1467,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1479
2026-05-27,fullsend,1333,feat(cli): log token scope at start of fullsend run,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1333
2026-05-27,fullsend,1261,feat(cli): add mint sub-command for standalone GCP mint management,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1261
2026-05-27,fullsend,1259,feat(cli): add github sub-command for standalone org/repo setup,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1259
2026-05-27,fullsend,1258,feat(cli): add inference sub-command for standalone WIF provisioning,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1258
2026-05-27,fullsend,1245,docs(adr): synchronous workflow_call for event-driven agent dispatch,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1245
2026-05-27,fullsend,1232,feat(skills): add /topissues slash command for RICE backlog,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1232
2026-05-27,fullsend,917,docs(skills): add spec-refine and spec-refine-github,docs,,,,https://github.com/fullsend-ai/fullsend/pull/917
2026-05-28,fullsend,1673,fix: prevent grep no-match from crashing pre-fetch-prior-review,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1673
2026-05-28,fullsend,1668,"feat: add inference deprovision, split Vertex AI ops from mint enroll",feat,,,,https://github.com/fullsend-ai/fullsend/pull/1668
2026-05-28,fullsend,1664,fix: use Cloud Run API for env-var-only mint updates,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1664
2026-05-28,fullsend,1663,ci: add halfsend-03 through halfsend-06 to e2e org pool,ci,,,,https://github.com/fullsend-ai/fullsend/pull/1663
2026-05-28,fullsend,1657,docs: deprecate ADR-0028 (GitLab support),docs,,,,https://github.com/fullsend-ai/fullsend/pull/1657
2026-05-28,fullsend,1635,ADR 0015: Normative implementation contracts live under docs/normative/,other,,,,https://github.com/fullsend-ai/fullsend/pull/1635
2026-05-28,fullsend,1634,docs: accept ADR 0029 central token mint and secretless .fullsend,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1634
2026-05-28,fullsend,1633,docs: accept ADR 0013,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1633
2026-05-28,fullsend,1632,docs: accept ADR 0014,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1632
2026-05-28,fullsend,1631,docs: accept ADR 0012,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1631
2026-05-28,fullsend,1612,fix(e2e): fix stale lock recovery and improve lock debugging,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1612
2026-05-28,fullsend,1578,docs: accept ADR 0041 and update living docs,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1578
2026-05-28,fullsend,1571,fix(triage): accumulate prior analysis on re-runs,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1571
2026-05-28,fullsend,1565,fix(reusable-fix): propagate gh pr view failures in eligibility check,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1565
2026-05-28,fullsend,1506,Add acli (Atlassian CLI) to sandbox image,other,,,,https://github.com/fullsend-ai/fullsend/pull/1506
2026-05-28,fullsend,1497,fix(#1496): exclude coder bot PRs from pre-code check,fix,external,1496,deboer-tim,https://github.com/fullsend-ai/fullsend/pull/1497
2026-05-28,fullsend,1457,fix: restore setup-agent-env.sh copy in prioritize scaffold workflow,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1457
2026-05-28,fullsend,1231,docs(#669): verify API contracts per code path in code skill,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1231
2026-05-28,fullsend,1225,fix(#1220): add fix role to PerRepoDefaultRoles for dispatch loop,fix,bot,1220,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1225
2026-05-28,fullsend,1138,fix: skip existing-PR check when --force is in comment body,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1138
2026-05-28,fullsend,862,fix(#860): sync org variable visibility when enabling repos,fix,core,860,rh-hemartin,https://github.com/fullsend-ai/fullsend/pull/862
2026-05-29,fullsend,1703,fix(inference): separate WIF pool from mint to prevent cross-domain interference,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1703
2026-05-29,fullsend,1696,fix(e2e): seed empty test-repo so enrollment PR creation succeeds,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1696
2026-05-29,fullsend,1692,fix: use tarball upload for fullsend binary in sandbox,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1692
2026-05-29,fullsend,1690,feat(mint): add --pem-dir to bootstrap PEMs during deploy,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1690
2026-05-29,fullsend,1677,refactor!: rename --source-org flag to --app-set in mint enroll,other,,,,https://github.com/fullsend-ai/fullsend/pull/1677
2026-05-29,fullsend,1671,fix: deduplicate app slugs and suppress browser opens in CI,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1671
2026-05-29,fullsend,1658,docs(refactor): running agents locally update,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1658
2026-05-30,fullsend,1708,docs: document required IAM roles for standalone mint and inference commands,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1708
2026-06-01,fullsend,1747,fix(cli): update followup commands from 'admin install' to 'github setup',fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1747
2026-06-01,fullsend,1729,fix(#1728): use GITHUB_REPOSITORY for workflow run URL in failure comments,fix,bot,1728,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1729
2026-06-01,fullsend,1723,fix(#1161): reject empty string in audience.UnmarshalJSON,fix,core,1161,ifireball,https://github.com/fullsend-ai/fullsend/pull/1723
2026-06-01,fullsend,1711,fix: check CSMA output for rate limit errors even on exit 0,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1711
2026-06-01,fullsend,1691,ci: add weekly cleanup of expired e2e PATs,ci,,,,https://github.com/fullsend-ai/fullsend/pull/1691
2026-06-01,fullsend,1681,ci: add shellcheck to pre-commit and fix existing warnings,ci,,,,https://github.com/fullsend-ai/fullsend/pull/1681
2026-06-01,fullsend,1680,docs: remove Proposed and Undecided as valid ADR statuses,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1680
2026-06-01,fullsend,1669,fix(#1667): make bot-exclusion tests exercise the jq filter,fix,core,1667,ralphbean,https://github.com/fullsend-ai/fullsend/pull/1669
2026-06-01,fullsend,1661,docs: surface ADR rules in AGENTS.md and clarify PR status,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1661
2026-06-01,fullsend,1652,fix(dispatch): route issues opened/edited to triage in per-repo mode,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1652
2026-06-01,fullsend,1645,fix(#1139): use repo-root-relative path in step 9 install instructions,fix,core,1139,rh-hemartin,https://github.com/fullsend-ai/fullsend/pull/1645
2026-06-01,fullsend,1623,feat: add resource resolver for URL-referenced harness resources,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1623
2026-06-01,fullsend,1620,fix(#1619): guard grep pipeline in pre-fetch-prior-review.sh,fix,bot,1619,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1620
2026-06-01,fullsend,1615,feat(cli): watch repo-maintenance workflow after enable/disable repos,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1615
2026-06-01,fullsend,1614,fix(e2e): retry lock verification read to handle auto_init race,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1614
2026-06-01,fullsend,1550,feat(review): parallel specialized sub-agents for PR review,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1550
2026-06-01,fullsend,1540,docs(#1537): clarify findings vs inline comments distinction,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1540
2026-06-02,fullsend,1807,fix(#852): add consumer-completeness check to code-review Correctness dimension,fix,bot,852,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1807
2026-06-02,fullsend,1802,fix(#1798): expand model frontmatter docs to include full model IDs,fix,bot,1798,fullsend-ai-retro[bot],https://github.com/fullsend-ai/fullsend/pull/1802
2026-06-02,fullsend,1793,fix(review): use the exact Vertex model label for sub-agents,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1793
2026-06-02,fullsend,1782,docs(#1759): update stale sub-agent names across docs,docs,,,,https://github.com/fullsend-ai/fullsend/pull/1782
2026-06-02,fullsend,1760,feat(cli): wire URL-referenced harness resources into fullsend run,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1760
2026-06-02,fullsend,1720,fix: allow per-repo setup to reuse existing inference secrets on re-run,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1720
2026-06-03,fullsend,1861,feat(mint): add Cloud Run revision awareness to status and enroll commands,feat,,,,https://github.com/fullsend-ai/fullsend/pull/1861
2026-06-03,fullsend,1853,fix(review): use the *actually* exact Vertex model label for sub-agents,fix,unlinked,,,https://github.com/fullsend-ai/fullsend/pull/1853
2026-06-03,fullsend,1846,fix(#1842): read env vars from traffic-serving revision in EnsureOrgInMint,fix,core,1842,waynesun09,https://github.com/fullsend-ai/fullsend/pull/1846
2026-06-03,fullsend,1845,fix(#1844): route Cloud Run traffic to latest revision in UpdateServiceEnvVars,fix,core,1844,waynesun09,https://github.com/fullsend-ai/fullsend/pull/1845
